Id,SalePrice
1461,127337.40959128166
1462,168713.36690433393
1463,184488.09060616235
1464,196602.1541202898
1465,188915.2264977941
1466,178138.97224653917
1467,185095.15282486958
1468,170704.49663110456
1469,183362.88145958926
1470,129806.49210313585
1471,188847.86374105894
1472,89645.54935627211
1473,106722.85635992794
1474,153943.81468475563
1475,103167.91915102897
1476,378076.98055302707
1477,252136.6937639398
1478,298220.8527682
1479,231290.31432728222
1480,468086.30051140906
1481,344564.07983422553
1482,204214.4089193596
1483,158209.2799578601
1484,162444.3662348002
1485,180499.98797509764
1486,198567.17075134863
1487,351457.75285971357
1488,230744.46511851935
1489,204636.21307610825
1490,209140.45212235936
1491,186284.00258439465
1492,90877.9859568593
1493,186868.90884611182
1494,291433.3751843026
1495,276547.0152768473
1496,200953.99860909765
1497,189559.15019181787
1498,162401.60588757275
1499,155486.5342796197
1500,162095.3529437458
1501,180543.64745573507
1502,144249.1251430968
1503,326572.53372784425
1504,256846.29593387156
1505,219380.994082547
1506,195718.09192104725
1507,241494.4979466384
1508,201061.93687579932
1509,159119.56796825834
1510,153121.7469774489
1511,143423.48527797405
1512,169464.5039183314
1513,156050.07068734514
1514,169841.86594056865
1515,182325.55717218947
1516,155039.63769343845
1517,175773.86224928746
1518,134604.64708463603
1519,218814.06528663504
1520,132539.44804218475
1521,139819.8364064793
1522,168445.2731615543
1523,115856.96239211806
1524,129829.19401276774
1525,119483.44034339399
1526,126812.72231680715
1527,110739.19459414223
1528,133811.63067154627
1529,159320.42640984332
1530,186431.99845932625
1531,89828.72497229
1532,92128.79758870504
1533,147964.48016124082
1534,117530.42092507867
1535,152172.86748090113
1536,109029.4600511755
1537,72909.68541659527
1538,159372.92736252153
1539,184710.03936807156
1540,93855.38832091061
1541,145100.63284443968
1542,122734.83618621524
1543,218928.64118841352
1544,73045.53490010223
1545,117028.73983732706
1546,134212.1401305643
1547,133494.4344891898
1548,134063.6086984872
1549,123593.32674623419
1550,138696.54872428888
1551,105886.32178103196
1552,142325.61031283546
1553,151644.52081284352
1554,117157.47028929659
1555,162321.52731024704
1556,78678.36442587446
1557,110469.43035693892
1558,97912.65725896151
1559,81306.52041832783
1560,142462.97849322512
1561,128023.04377880479
1562,123852.85140203859
1563,117574.47499912906
1564,155279.50178172108
1565,147164.56884085486
1566,237873.32440170876
1567,73463.622831641
1568,214718.92407240637
1569,148330.15247305148
1570,137699.0072737909
1571,128325.46763214795
1572,144781.6859647397
1573,210581.3684510596
1574,109767.97422271161
1575,195733.48135684646
1576,231332.39980140483
1577,198227.79450685834
1578,143423.64128104027
1579,148914.41746973456
1580,196810.56899816458
1581,144428.36192370896
1582,123997.06618958393
1583,362657.4747709372
1584,220950.90570065076
1585,141224.56261590272
1586,69021.8527346607
1587,92363.2318299376
1588,157552.15261773835
1589,111425.36776888584
1590,129326.23146196976
1591,89775.59340871166
1592,112437.57095245253
1593,125318.22777076588
1594,165571.89240635184
1595,115097.70437821875
1596,244958.7382003275
1597,174086.7697350823
1598,193305.18266202643
1599,164665.96491659764
1600,151852.57547302023
1601,64398.60510680968
1602,116299.8724380766
1603,99075.80668567342
1604,245635.1685966474
1605,260540.01661138373
1606,171611.88449287642
1607,177722.9929987405
1608,208930.12578168712
1609,176497.59638256152
1610,164855.25490347776
1611,132415.08562023405
1612,176040.21138130964
1613,167741.69425382247
1614,120080.59910318886
1615,83705.47106632612
1616,74221.37105206923
1617,97266.67616966886
1618,119676.55932964438
1619,141476.32151806972
1620,188230.34529049875
1621,134795.08808877756
1622,140643.97110925952
1623,294871.9988474451
1624,192425.74730408398
1625,130889.29270310949
1626,176671.61556232432
1627,189205.66086518695
1628,273154.9581513854
1629,177991.67520672298
1630,374725.78575015784
1631,246821.43620306443
1632,248925.01842468872
1633,164473.9449157391
1634,191287.73226626532
1635,181133.84863486153
1636,157405.79226224567
1637,193366.67722440537
1638,214364.75691545548
1639,178851.55819104245
1640,260270.58074428388
1641,173301.9208047971
1642,224275.8759284783
1643,242548.25229873258
1644,234187.30757732273
1645,178315.09536870505
1646,180502.29348388212
1647,151244.6623585295
1648,134775.97873199105
1649,141429.9138641528
1650,115560.5776366667
1651,120635.87387532696
1652,96299.63503809892
1653,100082.54738432188
1654,153562.37543857205
1655,155348.47254249
1656,153279.5931591068
1657,159765.506238121
1658,152940.89025389138
1659,120414.37826521862
1660,153400.69320094283
1661,458806.744787635
1662,432998.0133799429
1663,387328.3441528552
1664,472871.4945498497
1665,353165.72086670477
1666,322648.74206330633
1667,352757.5726149827
1668,372047.74867845955
1669,275573.395612592
1670,372464.4971867269
